P0000,No trouble code
P0001,Fuel Volume Regulator Control Circuit / Open
P0002,Fuel Volume Regulator Control Circuit Range/Performance
P0003,Fuel Volume Regulator Control Circuit Low
P0004,Fuel Volume Regulator Control Circuit High
P0005,Fuel Shutoff Valve Control Circuit / Open
P0006,Fuel Shutoff Valve Control Circuit Low
P0007,Fuel Shutoff Valve Control Circuit High
P0008,Engine Position System Performance - Bank 1
P0009,Engine Position System Performance - Bank 1
P0010,Intake Camshaft Position Actuator Circuit / Open (Bank 1)
P0011,Intake Camshaft Position Timing - Over-Advanced (Bank 1)
P0012,Intake Camshaft Position Timing - Over-Retarded (Bank 1)
P0013,Exhaust Camshaft Position Actuator Circuit / Open (Bank 1)
P0014,Exhaust Camshaft Position Timing - Over-Advanced (Bank 1)
P0015,Exhaust Camshaft Position Timing - Over-Retarded (Bank 1)
P0016,Crankshaft Position Camshaft Position Correlation Bank 1 Sensor A
P0017,Crankshaft Position Camshaft Position Correlation Bank 1 Sensor B
P0018,Crankshaft Position Camshaft Position Correlation Bank 2 Sensor A
P0019,Crankshaft Position Camshaft Position Correlation Bank 2 Sensor B
P0020,Intake Camshaft Position Actuator Circuit / Open (Bank 2)
P0021,Intake Camshaft Position Timing - Over-Advanced (Bank 2)
P0022,Intake Camshaft Position Timing - Over-Retarded (Bank 2)
P0023,Exhaust Camshaft Position Actuator Circuit / Open (Bank 2)
P0024,Exhaust Camshaft Position Timing - Over-Advanced (Bank 2)
P0025,Exhaust Camshaft Position Timing - Over-Retarded (Bank 2)
P0026,Intake Valve Control Solenoid Circuit Range/Performance (Bank 2)
P0027,Exhaust Valve Control Solenoid Circuit Range/Performance (Bank 2)
P0028,Intake Valve Control Solenoid Circuit Range/Performance (Bank 2)
P0029,Exhaust Valve Control Solenoid Circuit Range/Performance (Bank 2)
P0030,Heated Oxygen Sensor (H02S) Heater Control Circuit Bank 1 Sensor 1
P0031,Heated Oxygen Sensor (HO2S) Heater Circuit Low Voltage Bank 1 Sensor 1
P0032,Heated Oxygen Sensor (HO2S) Heater Circuit High Voltage Bank 1 Sensor 1
P0033,Turbo/Super Charger Bypass Valve Control Circuit / Open
P0034,Turbo/Super Charger Bypass Valve Control Circuit Low
P0035,Turbo/Super Charger Bypass Valve Control Circuit High
P0036,Heated Oxygen Sensor (HO2S) Heater Control Circuit Bank 1 Sensor 2
P0037,Heated Oxygen Sensor (HO2S) Heater Circuit Low Voltage Bank 1 Sensor 2
P0038,Heated Oxygen Sensor (HO2S) Heater Circuit High Voltage Bank 1 Sensor 2
